NAME,OBJECTID,n1,n2,n3,n4,n5,n6
2801,219,0.321428571,0.214285714,0.214285714,0.092857143,0.085714286,0.071428571
2802,224,0.385869565,0.244565217,0.119565217,0.125,0.065217391,0.059782609
2803,227,0.393665158,0.201809955,0.092307692,0.105882353,0.120361991,0.085972851
2804,226,0.194070081,0.218328841,0.210242588,0.164420485,0.137466307,0.075471698
2805,225,0.339514066,0.195012788,0.140664962,0.101662404,0.122762148,0.100383632
2806,228,0.343137255,0.235294118,0.068627451,0.098039216,0.12745098,0.12745098
2807,229,0,0,0.5,0,0,0.5
2808,230,0.351214575,0.218623482,0.110323887,0.106275304,0.131578947,0.081983806
2809,231,0.34122449,0.190204082,0.109387755,0.099591837,0.153469388,0.106122449
2810,232,0.367647059,0.161764706,0.058823529,0.147058824,0.073529412,0.191176471
2811,220,0.254428341,0.173913043,0.107890499,0.098228663,0.194847021,0.170692432
2812,221,0.207366985,0.19781719,0.129604366,0.141882674,0.184174625,0.139154161
2813,222,0.240088106,0.149779736,0.149779736,0.121145374,0.18061674,0.158590308
2814,223,0.228125,0.1875,0.1,0.159375,0.14375,0.18125
2815,233,0.361970218,0.234822451,0.099656357,0.107674685,0.112256586,0.083619702
2816,235,0.352699531,0.190140845,0.115023474,0.099178404,0.127347418,0.115610329
2817,234,0.344309648,0.19988446,0.10803004,0.096476025,0.127671866,0.123627961
2818,404,0.337155963,0.189220183,0.120412844,0.095183486,0.152522936,0.105504587
2819,236,0.256628788,0.184659091,0.128787879,0.141098485,0.168560606,0.120265152
2820,237,0.306451613,0.177419355,0.177419355,0.129032258,0.120967742,0.088709677
2821,238,0.248914616,0.149059334,0.149059334,0.11577424,0.225759768,0.111432706
2822,239,0.24852071,0.159763314,0.142011834,0.106508876,0.218934911,0.124260355
2823,240,0.211055276,0.16959799,0.124371859,0.126884422,0.201005025,0.167085427
2824,242,0.241777778,0.138666667,0.121777778,0.138666667,0.216888889,0.142222222
2825,241,0.258064516,0.153225806,0.161290323,0.080645161,0.217741935,0.129032258
2826,243,0.191374663,0.169811321,0.144204852,0.133423181,0.223719677,0.137466307
